strain,time,rep,nt,ht,nt-dil,ht-dil
Spo_0A,5064,B,105,0,4,2
Spo_0A,5064,C,98,0,4,2
Spo_0A,5064,D,89,0,4,2
Spo_0A,5112,A,64,0,4,2
Spo_0A,5112,B,79,0,4,2
Spo_0A,5112,C,51,0,4,2
Spo_0A,5112,D,63,0,4,2
Spo_0A,5856,A,15,0,5,2
Spo_0A,5856,B,23,0,5,2
Spo_0A,5856,C,31,0,5,2
Spo_0A,5856,D,30,0,5,2
Spo_0A,5904,A,262,0,4,2
Spo_0A,5904,B,230,0,4,2
Spo_0A,5904,C,252,0,4,2
Spo_0A,5904,D,264,0,4,2
Spo_0A,5952,A,484,0,4,2
Spo_0A,5952,B,420,0,4,2
Spo_0A,5952,C,440,0,4,2
Spo_0A,5952,D,508,0,4,2
Spo_0A,6000,A,94,0,5,2
Spo_0A,6000,B,108,0,5,2
Spo_0A,6000,C,93,0,5,2
Spo_0A,6000,D,97,0,5,2
Spo_0A,6048,A,147,0,5,2
Spo_0A,6048,B,175,0,5,2
Spo_0A,6048,C,171,0,5,2
Spo_0A,6048,D,140,0,5,2
Spo_0A,6096,A,92,0,5,2
Spo_0A,6096,B,88,0,5,2
Spo_0A,6096,C,93,0,5,2
Spo_0A,6096,D,59,0,5,2
Spo_0A,6144,A,39,0,5,2
Spo_0A,6144,B,36,0,5,2
Spo_0A,6144,C,31,0,5,2
Spo_0A,6144,D,45,0,5,2
Spo_0A,6192,A,48,0,5,2
Spo_0A,6192,B,46,0,5,2
Spo_0A,6192,C,44,0,5,2
Spo_0A,6192,D,63,0,5,2
Spo_0A,6240,A,38,0,5,2
Spo_0A,6240,B,39,0,5,2
Spo_0A,6240,C,43,0,5,2
Spo_0A,6240,D,37,0,5,2
Spo_0A,6288,A,32,0,5,2
Spo_0A,6288,B,46,0,5,2
Spo_0A,6288,C,52,0,5,2
Spo_0A,6288,D,47,0,5,2
Spo_0A,6336,A,17,0,5,2
Spo_0A,6336,B,11,0,5,2
Spo_0A,6336,C,21,0,5,2
Spo_0A,6336,D,22,0,5,2
Spo_0A,6384,A,10,0,5,2
Spo_0A,6384,B,12,0,5,2
Spo_0A,6384,C,9,0,5,2
Spo_0A,6384,D,12,0,5,2
Spo_0A,6432,A,13,0,5,2
Spo_0A,6432,B,11,0,5,2
Spo_0A,6432,C,14,0,5,2
Spo_0A,6432,D,9,0,5,2
Spo_0A,6480,A,9,0,5,2
Spo_0A,6480,B,6,0,5,2
Spo_0A,6480,C,6,0,5,2
Spo_0A,6480,D,13,0,5,2
Spo_0A,6528,A,9,0,5,2
Spo_0A,6528,B,7,0,5,2
Spo_0A,6528,C,10,0,5,2
Spo_0A,6528,D,8,0,5,2
Spo_0A,6576,A,92,0,4,2
Spo_0A,6576,B,115,0,4,2
Spo_0A,6576,C,96,0,4,2
Spo_0A,6576,D,95,0,4,2
Spo_0A,6624,A,36,0,4,2
Spo_0A,6624,B,43,0,4,2
Spo_0A,6624,C,42,0,4,2
Spo_0A,6624,D,20,0,4,2
Spo_0A,6672,A,40,0,4,2
Spo_0A,6672,B,50,0,4,2
Spo_0A,6672,C,42,0,4,2
Spo_0A,6672,D,44,0,4,2
Spo_0A,6720,A,59,0,4,2
Spo_0A,6720,B,61,0,4,2
Spo_0A,6720,C,57,0,4,2
Spo_0A,6720,D,69,0,4,2
Spo_0A,6768,A,62,0,4,2
Spo_0A,6768,B,61,0,4,2
Spo_0A,6768,C,64,0,4,2
Spo_0A,6768,D,48,0,4,2
Spo_0A,6816,A,62,0,4,2
Spo_0A,6816,B,56,0,4,2
Spo_0A,6816,C,63,0,4,2
Spo_0A,6816,D,45,0,4,2
Spo_0A,6864,A,59,0,4,2
Spo_0A,6864,B,51,0,4,2
Spo_0A,6864,C,61,0,4,2
Spo_0A,6864,D,48,0,4,2
Spo_0A,6912,A,245,0,4,2
Spo_0A,6912,B,211,0,4,2
Spo_0A,6912,C,172,0,4,2
Spo_0A,6912,D,219,0,4,2
Spo_0A,6960,A,262,0,4,2
Spo_0A,6960,B,267,0,4,2
Spo_0A,6960,C,229,0,4,2
Spo_0A,6960,D,184,0,4,2
Spo_0A,7008,A,26,0,5,2
Spo_0A,7008,B,21,0,5,2
Spo_0A,7008,C,27,0,5,2
Spo_0A,7008,D,19,0,5,2
Spo_0A,7056,A,38,0,5,2
Spo_0A,7056,B,41,0,5,2
Spo_0A,7056,C,42,0,5,2
Spo_0A,7056,D,48,0,5,2
Spo_0A,7104,A,42,0,5,2
Spo_0A,7104,B,56,0,5,2
Spo_0A,7104,C,57,0,5,2
Spo_0A,7104,D,60,0,5,2
Spo_0A,7152,A,46,0,5,2
Spo_0A,7152,B,62,0,5,2
Spo_0A,7152,C,48,0,5,2
Spo_0A,7152,D,73,0,5,2
Spo_0A,7200,A,98,0,5,2
Spo_0A,7200,B,75,0,5,2
Spo_0A,7200,C,50,0,5,2
Spo_0A,7200,D,76,0,5,2
Spo_0A,7248,A,50,0,5,2
Spo_0A,7248,B,56,0,5,2
Spo_0A,7248,C,56,0,5,2
Spo_0A,7248,D,64,0,5,2
Spo_0A,7296,A,61,0,5,2
Spo_0A,7296,B,73,0,5,2
Spo_0A,7296,C,80,0,5,2
Spo_0A,7296,D,68,0,5,2
Spo_0A,7344,A,38,0,5,2
Spo_0A,7344,B,46,0,5,2
Spo_0A,7344,C,41,0,5,2
Spo_0A,7344,D,45,0,5,2
Spo_0A,7392,A,26,0,5,2
Spo_0A,7392,B,31,0,5,2
Spo_0A,7392,C,36,0,5,2
Spo_0A,7392,D,19,0,5,2
Spo_0A,7440,A,24,0,5,2
Spo_0A,7440,B,16,0,5,2
Spo_0A,7440,C,27,0,5,2
Spo_0A,7440,D,45,0,5,2
Spo_0A,7488,A,40,0,5,2
Spo_0A,7488,B,28,0,5,2
Spo_0A,7488,C,26,0,5,2
Spo_0A,7488,D,36,0,5,2
Spo_0A,7536,A,30,0,5,2
Spo_0A,7536,B,28,0,5,2
Spo_0A,7536,C,27,0,5,2
Spo_0A,7536,D,29,0,5,2
Spo_0A,7584,A,17,0,5,2
Spo_0A,7584,B,21,0,5,2
Spo_0A,7584,C,20,0,5,2
Spo_0A,7584,D,27,0,5,2
Spo_0A,7632,A,27,0,5,2
Spo_0A,7632,B,15,0,5,2
Spo_0A,7632,C,24,0,5,2
Spo_0A,7632,D,21,0,5,2
Spo_0A,7680,A,18,0,5,2
Spo_0A,7680,B,24,0,5,2
Spo_0A,7680,C,16,0,5,2
Spo_0A,7680,D,18,0,5,2
Spo_0A,7728,A,23,0,5,2
Spo_0A,7728,B,15,0,5,2
Spo_0A,7728,C,26,0,5,2
Spo_0A,7728,D,19,0,5,2
Spo_0A,7776,A,20,0,5,2
Spo_0A,7776,B,17,0,5,2
Spo_0A,7776,C,16,0,5,2
Spo_0A,7776,D,18,0,5,2
Spo_0A,7824,A,13,0,5,2
Spo_0A,7824,B,13,0,5,2
Spo_0A,7824,C,14,0,5,2
Spo_0A,7824,D,18,0,5,2
Spo_0A,7872,A,13,0,5,2
Spo_0A,7872,B,10,0,5,2
Spo_0A,7872,C,18,0,5,2
Spo_0A,7872,D,12,0,5,2
Spo_0A,7920,A,10,0,5,2
Spo_0A,7920,B,11,0,5,2
Spo_0A,7920,C,12,0,5,2
Spo_0A,7920,D,6,0,5,2
Spo_0A,7968,A,8,0,5,2
Spo_0A,7968,B,19,0,5,2
Spo_0A,7968,C,6,0,5,2
Spo_0A,7968,D,5,0,5,2
Spo_0A,8016,A,6,0,5,2
Spo_0A,8016,B,6,0,5,2
Spo_0A,8016,C,6,0,5,2
Spo_0A,8016,D,11,0,5,2
Spo_0A,8064,A,105,0,4,2
Spo_0A,8064,B,79,0,4,2
Spo_0A,8064,C,61,0,4,2
Spo_0A,8064,D,89,0,4,2
Spo_0A,8112,A,85,0,4,2
Spo_0A,8112,B,145,0,4,2
Spo_0A,8112,C,109,0,4,2
Spo_0A,8112,D,106,0,4,2
Spo_0A,8160,A,127,0,4,2
Spo_0A,8160,B,72,0,4,2
Spo_0A,8160,C,71,0,4,2
Spo_0A,8160,D,87,0,4,2
Spo_0A,8208,A,166,0,4,2
Spo_0A,8208,B,142,0,4,2
Spo_0A,8208,C,158,0,4,2
Spo_0A,8208,D,165,0,4,2
Spo_0A,8256,A,27,0,5,2
Spo_0A,8256,B,24,0,5,2
Spo_0A,8256,C,22,0,5,2
Spo_0A,8256,D,20,0,5,2
Spo_0A,8304,A,219,0,4,2
Spo_0A,8304,B,223,0,4,2
Spo_0A,8304,C,195,0,4,2
Spo_0A,8304,D,161,0,4,2
Spo_0A,8352,A,98,0,4,2
Spo_0A,8352,B,125,0,4,2
